speciesKey,month,obs_count,norm_frequency,mean_lat,mean_lon,individual_sum
2482487,1,10389,0.013871808943170848,18.793822345076638,73.78222104610617,48878
2481947,4,55,0.00013782146857545225,20.110718636363632,79.26609807272727,83
2486151,6,4434,0.012003735939466952,18.63326918764075,73.39080484055012,13119
7340278,9,4160,0.011183246636289097,18.979148549759522,74.38681735673067,15286
2480773,5,863,0.00205525125029769,19.463730085747397,75.08082403939736,9788
2493970,12,14007,0.018150741735173073,19.229159089669086,74.79070166602378,46329
2480934,5,1638,0.0039009287925696593,19.826187672771677,75.94115005860797,3554
2493626,11,1044,0.001397313517536017,19.029223053639896,74.7504759243294,5040
6100941,10,3782,0.006395027367402946,19.41666966129025,75.34805398466415,14189
5229126,1,5418,0.0072343306241312594,19.372241904208312,74.88366740531511,85791
5232005,3,9293,0.016776881734989178,19.22341936123956,74.51536126267091,15316
