speciesKey,species,scientificName,order,family,iucn_code,iucn_category
2481019,Falco chicquera,"Falco chicquera Daudin, 1800",Falconiformes,Falconidae,NT,NEAR_THREATENED
5789279,Sternula albifrons,"Sternula albifrons (Pallas, 1764)",Charadriiformes,Laridae,LC,LEAST_CONCERN
2477411,Tachymarptis melba,"Tachymarptis melba (Linnaeus, 1758)",Apodiformes,Apodidae,LC,LEAST_CONCERN
2480801,Platalea leucorodia,"Platalea leucorodia Linnaeus, 1758",Pelecaniformes,Threskiornithidae,LC,LEAST_CONCERN
2482048,Tachybaptus ruficollis,"Tachybaptus ruficollis (Pallas, 1764)",Podicipediformes,Podicipedidae,LC,LEAST_CONCERN
2480372,Elanus caeruleus,"Elanus caeruleus (Desfontaines, 1789)",Accipitriformes,Accipitridae,LC,LEAST_CONCERN
2484857,Tephrodornis pondicerianus,"Tephrodornis pondicerianus (Gmelin, 1789)",Passeriformes,Tephrodornithidae,LC,LEAST_CONCERN
2481713,Tringa glareola,"Tringa glareola Linnaeus, 1758",Charadriiformes,Scolopacidae,LC,LEAST_CONCERN
2492766,Prinia hodgsonii,"Prinia hodgsonii Blyth, 1844",Passeriformes,Cisticolidae,LC,LEAST_CONCERN
2475379,Coracias benghalensis,"Coracias benghalensis (Linnaeus, 1758)",Coraciiformes,Coraciidae,LC,LEAST_CONCERN
2490672,Galerida malabarica,"Galerida malabarica (Scopoli, 1786)",Passeriformes,Alaudidae,LC,LEAST_CONCERN
2498255,Aythya ferina,"Aythya ferina (Linnaeus, 1758)",Anseriformes,Anatidae,VU,VULNERABLE
7340540,Cinnyris lotenius,"Cinnyris lotenius (Linnaeus, 1766)",Passeriformes,Nectariniidae,LC,LEAST_CONCERN
2481850,Metopidius indicus,"Metopidius indicus (Latham, 1790)",Charadriiformes,Jacanidae,LC,LEAST_CONCERN
2481749,Calidris minuta,"Calidris minuta (Leisler, 1812)",Charadriiformes,Scolopacidae,LC,LEAST_CONCERN
2489006,Acridotheres fuscus,"Acridotheres fuscus (Wagler, 1827)",Passeriformes,Sturnidae,LC,LEAST_CONCERN
2475452,Merops philippinus,"Merops philippinus Linnaeus, 1767",Coraciiformes,Meropidae,LC,LEAST_CONCERN
8214667,Anas crecca,"Anas crecca Linnaeus, 1758",Anseriformes,Anatidae,LC,LEAST_CONCERN
9717283,Cecropis daurica,"Cecropis daurica (Laxmann, 1769)",Passeriformes,Hirundinidae,LC,LEAST_CONCERN
2481726,Tringa nebularia,"Tringa nebularia (Gunnerus, 1767)",Charadriiformes,Scolopacidae,LC,LEAST_CONCERN
2481703,Xenus cinereus,"Xenus cinereus (Güldenstädt, 1775)",Charadriiformes,Scolopacidae,LC,LEAST_CONCERN
4352332,Phoenicopterus roseus,"Phoenicopterus roseus Pallas, 1811",Phoenicopteriformes,Phoenicopteridae,LC,LEAST_CONCERN
2493248,Pellorneum ruficeps,"Pellorneum ruficeps Swainson, 1832",Passeriformes,Pellorneidae,LC,LEAST_CONCERN
7760921,Psilopogon zeylanicus,"Psilopogon zeylanicus (J.F.Gmelin, 1788)",Piciformes,Megalaimidae,LC,LEAST_CONCERN
6100845,Oenanthe fusca,"Oenanthe fusca (Blyth, 1851)",Passeriformes,Muscicapidae,LC,LEAST_CONCERN
2493971,Dicrurus aeneus,"Dicrurus aeneus Vieillot, 1817",Passeriformes,Dicruridae,LC,LEAST_CONCERN
2490246,Anthus trivialis,"Anthus trivialis (Linnaeus, 1758)",Passeriformes,Motacillidae,LC,LEAST_CONCERN
2486119,Pycnonotus luteolus,"Pycnonotus luteolus (Lesson, 1841)",Passeriformes,Pycnonotidae,LC,LEAST_CONCERN
2493084,Phylloscopus trochiloides,"Phylloscopus trochiloides (Sundevall, 1837)",Passeriformes,Phylloscopidae,LC,LEAST_CONCERN
4408796,Ptyonoprogne rupestris,"Ptyonoprogne rupestris (Scopoli, 1769)",Passeriformes,Hirundinidae,LC,LEAST_CONCERN
2490274,Anthus campestris,"Anthus campestris (Linnaeus, 1758)",Passeriformes,Motacillidae,LC,LEAST_CONCERN
8332393,Spatula clypeata,"Spatula clypeata (Linnaeus, 1758)",Anseriformes,Anatidae,LC,LEAST_CONCERN
5846272,Turdus simillimus,"Turdus simillimus Jerdon, 1839",Passeriformes,Turdidae,LC,LEAST_CONCERN
2493969,Dicrurus paradiseus,"Dicrurus paradiseus (Linnaeus, 1766)",Passeriformes,Dicruridae,LC,LEAST_CONCERN
5788501,Nisaetus cirrhatus,"Nisaetus cirrhatus (Gmelin, 1788)",Accipitriformes,Accipitridae,LC,LEAST_CONCERN
2495757,Treron phoenicopterus,"Treron phoenicopterus (Latham, 1790)",Columbiformes,Columbidae,LC,LEAST_CONCERN
9687165,Motacilla alba,"Motacilla alba Linnaeus, 1758",Passeriformes,Motacillidae,LC,LEAST_CONCERN
4408732,Luscinia svecica,"Luscinia svecica (Linnaeus, 1758)",Passeriformes,Muscicapidae,LC,LEAST_CONCERN
2493332,Pomatorhinus horsfieldii,"Pomatorhinus horsfieldii Sykes, 1832",Passeriformes,Timaliidae,LC,LEAST_CONCERN
2495681,Streptopelia orientalis,"Streptopelia orientalis (Latham, 1790)",Columbiformes,Columbidae,LC,LEAST_CONCERN
5231752,Rhipidura aureola,"Rhipidura aureola Lesson, 1831",Passeriformes,Rhipiduridae,LC,LEAST_CONCERN
2492557,Muscicapa muttui,"Muscicapa muttui (E.L.Layard, 1854)",Passeriformes,Muscicapidae,LC,LEAST_CONCERN
7796884,Psilopogon viridis,"Psilopogon viridis (Boddaert, 1783)",Piciformes,Megalaimidae,LC,LEAST_CONCERN
2498415,Upupa epops,"Upupa epops Linnaeus, 1758",Bucerotiformes,Upupidae,LC,LEAST_CONCERN
6065809,Chroicocephalus brunnicephalus,"Chroicocephalus brunnicephalus (Jerdon, 1840)",Charadriiformes,Laridae,NE,NOT_EVALUATED
5845386,Pastor roseus,"Pastor roseus (Linnaeus, 1758)",Passeriformes,Sturnidae,LC,LEAST_CONCERN
2494022,Ploceus benghalensis,"Ploceus benghalensis (Linnaeus, 1758)",Passeriformes,Ploceidae,LC,LEAST_CONCERN
2475679,Ceryle rudis,"Ceryle rudis (Linnaeus, 1758)",Coraciiformes,Alcedinidae,LC,LEAST_CONCERN
2481174,Larus fuscus,"Larus fuscus Linnaeus, 1758",Charadriiformes,Laridae,LC,LEAST_CONCERN
2473365,Perdicula argoondah,"Perdicula argoondah (Sykes, 1832)",Galliformes,Phasianidae,LC,LEAST_CONCERN
5789039,Myophonus horsfieldii,"Myophonus horsfieldii Vigors, 1831",Passeriformes,Muscicapidae,LC,LEAST_CONCERN
6100968,Gymnoris xanthocollis,"Gymnoris xanthocollis (Burton, 1838)",Passeriformes,Passeridae,LC,LEAST_CONCERN
2486132,Pycnonotus leucotis,"Pycnonotus leucotis (Gould, 1836)",Passeriformes,Pycnonotidae,LC,LEAST_CONCERN
2486772,Coracina melanoptera,"Lalage melanoptera (Rüppell, 1839)",Passeriformes,Campephagidae,LC,LEAST_CONCERN
2496468,Clamator jacobinus,"Clamator jacobinus (Boddaert, 1783)",Cuculiformes,Cuculidae,LC,LEAST_CONCERN
2480685,Hieraaetus pennatus,"Hieraaetus pennatus (Gmelin, 1788)",Accipitriformes,Accipitridae,LC,LEAST_CONCERN
5228199,Gallinula chloropus,"Gallinula chloropus (Linnaeus, 1758)",Gruiformes,Rallidae,LC,LEAST_CONCERN
2490698,Alauda gulgula,"Alauda gulgula Franklin, 1831",Passeriformes,Alaudidae,LC,LEAST_CONCERN
2480478,Butastur teesa,"Butastur teesa (Franklin, 1831)",Accipitriformes,Accipitridae,LC,LEAST_CONCERN
5846407,Petrochelidon fluvicola,"Petrochelidon fluvicola (Blyth, 1855)",Passeriformes,Hirundinidae,LC,LEAST_CONCERN
2481768,Calidris tenuirostris,"Calidris tenuirostris (Horsfield, 1821)",Charadriiformes,Scolopacidae,EN,ENDANGERED
2473696,Galloperdix spadicea,"Galloperdix spadicea (J.F.Gmelin, 1789)",Galliformes,Phasianidae,LC,LEAST_CONCERN
2481236,Hydroprogne caspia,"Hydroprogne caspia (Pallas, 1770)",Charadriiformes,Laridae,LC,LEAST_CONCERN
5231393,Chrysomma sinense,"Chrysomma sinense (Gmelin, 1789)",Passeriformes,Sylviidae,LC,LEAST_CONCERN
9367409,Sterna hirundo,"Sterna hirundo Linnaeus, 1758",Charadriiformes,Laridae,LC,LEAST_CONCERN
2492822,Cisticola juncidis,"Cisticola juncidis (Rafinesque, 1810)",Passeriformes,Cisticolidae,LC,LEAST_CONCERN
2497280,Athene brama,"Athene brama (Temminck, 1821)",Strigiformes,Strigidae,LC,LEAST_CONCERN
9522580,Pterocles exustus,"Pterocles exustus Temminck, 1825",Pteroclidiformes,Pteroclididae,LC,LEAST_CONCERN
2493698,Amandava amandava,"Amandava amandava (Linnaeus, 1758)",Passeriformes,Estrildidae,LC,LEAST_CONCERN
2490955,Monticola solitarius,"Monticola solitarius (Linnaeus, 1758)",Passeriformes,Muscicapidae,LC,LEAST_CONCERN
5739359,Iduna caligata,"Iduna caligata (Lichtenstein, 1823)",Passeriformes,Acrocephalidae,LC,LEAST_CONCERN
5229410,Anastomus oscitans,"Anastomus oscitans (Boddaert, 1783)",Ciconiiformes,Ciconiidae,LC,LEAST_CONCERN
2496852,Caprimulgus atripennis,"Caprimulgus atripennis Jerdon, 1845",Caprimulgiformes,Caprimulgidae,LC,LEAST_CONCERN
9584698,Falco naumanni,"Falco naumanni J.G.Fleischer, 1818",Falconiformes,Falconidae,LC,LEAST_CONCERN
5231910,Cuculus varius,"Hierococcyx varius (Vahl, 1797)",Cuculiformes,Cuculidae,LC,LEAST_CONCERN
5230398,Artamus fuscus,"Artamus fuscus Vieillot, 1817",Passeriformes,Artamidae,LC,LEAST_CONCERN
2481728,Tringa ochropus,"Tringa ochropus Linnaeus, 1758",Charadriiformes,Scolopacidae,LC,LEAST_CONCERN
5227765,Gallus sonneratii,"Gallus sonneratii Temminck, 1813",Galliformes,Phasianidae,LC,LEAST_CONCERN
11746102,Chrysocolaptes socialis,"Chrysocolaptes socialis Koelz, 1939",Piciformes,Picidae,NE,NOT_EVALUATED
5789283,Thalasseus bergii,"Thalasseus bergii (M.H.K.Lichtenstein, 1823)",Charadriiformes,Laridae,LC,LEAST_CONCERN
2495696,Streptopelia decaocto,"Streptopelia decaocto (Frivaldszky, 1838)",Columbiformes,Columbidae,LC,LEAST_CONCERN
2486819,Pericrocotus flammeus,"Pericrocotus flammeus (J.R.Forster, 1781)",Passeriformes,Campephagidae,LC,LEAST_CONCERN
2481819,Gallinago gallinago,"Gallinago gallinago (Linnaeus, 1758)",Charadriiformes,Scolopacidae,LC,LEAST_CONCERN
5231333,Acrocephalus stentoreus,"Acrocephalus stentoreus (Hemprich & Ehrenberg, 1833)",Passeriformes,Acrocephalidae,LC,LEAST_CONCERN
9584952,Phylloscopus nitidus,"Phylloscopus nitidus Blyth, 1843",Passeriformes,Phylloscopidae,LC,LEAST_CONCERN
5229133,Vanellus malabaricus,"Vanellus malabaricus (Boddaert, 1783)",Charadriiformes,Charadriidae,LC,LEAST_CONCERN
5228816,Dinopium benghalense,"Dinopium benghalense (Linnaeus, 1758)",Piciformes,Picidae,LC,LEAST_CONCERN
2493137,Acrocephalus agricola,"Acrocephalus agricola (Jerdon, 1845)",Passeriformes,Acrocephalidae,LC,LEAST_CONCERN
5232251,Otus bakkamoena,"Otus bakkamoena Pennant, 1769",Strigiformes,Strigidae,LC,LEAST_CONCERN
9515886,Hirundo rustica,"Hirundo rustica Linnaeus, 1758",Passeriformes,Hirundinidae,LC,LEAST_CONCERN
6086852,Aethopyga vigorsii,"Aethopyga vigorsii (Sykes, 1832)",Passeriformes,Nectariniidae,LC,LEAST_CONCERN
2480666,Circaetus gallicus,"Circaetus gallicus (Gmelin, 1788)",Accipitriformes,Accipitridae,LC,LEAST_CONCERN
5231383,Alcippe poioicephala,"Alcippe poioicephala (Jerdon, 1844)",Passeriformes,Pellorneidae,LC,LEAST_CONCERN
2481725,Tringa erythropus,"Tringa erythropus (Pallas, 1764)",Charadriiformes,Scolopacidae,LC,LEAST_CONCERN
6088706,Leptocoma minima,"Leptocoma minima (Sykes, 1832)",Passeriformes,Nectariniidae,LC,LEAST_CONCERN
2488929,Irena puella,"Irena puella (Latham, 1790)",Passeriformes,Irenidae,LC,LEAST_CONCERN
2481121,Chlidonias hybrida,"Chlidonias hybrida (Pallas, 1811)",Charadriiformes,Laridae,LC,LEAST_CONCERN
2479399,Loriculus vernalis,"Loriculus vernalis (Sparrman, 1787)",Psittaciformes,Psittacidae,LC,LEAST_CONCERN
2492634,Culicicapa ceylonensis,"Culicicapa ceylonensis (Swainson, 1820)",Passeriformes,Stenostiridae,LC,LEAST_CONCERN
5229239,Sterna aurantia,"Sterna aurantia J.E.Gray, 1831",Charadriiformes,Laridae,VU,VULNERABLE
5231876,Columba elphinstonii,"Columba elphinstonii (Sykes, 1832)",Columbiformes,Columbidae,VU,VULNERABLE
2498375,Mergus serrator,"Mergus serrator Linnaeus, 1758",Anseriformes,Anatidae,LC,LEAST_CONCERN
2478037,Chrysocolaptes festivus,"Chrysocolaptes festivus (Boddaert, 1783)",Piciformes,Picidae,LC,LEAST_CONCERN
2495840,Chalcophaps indica,"Chalcophaps indica (Linnaeus, 1758)",Columbiformes,Columbidae,LC,LEAST_CONCERN
2498027,Anser fabalis,"Anser fabalis (Latham, 1787)",Anseriformes,Anatidae,LC,LEAST_CONCERN
6066037,Burhinus indicus,"Burhinus indicus (Salvadori, 1866)",Charadriiformes,Burhinidae,LC,LEAST_CONCERN
2498112,Anas acuta,"Anas acuta Linnaeus, 1758",Anseriformes,Anatidae,LC,LEAST_CONCERN
5789032,Chloropsis jerdoni,"Chloropsis jerdoni (Blyth, 1844)",Passeriformes,Chloropseidae,LC,LEAST_CONCERN
2496952,Caprimulgus affinis,"Caprimulgus affinis Horsfield, 1821",Caprimulgiformes,Caprimulgidae,LC,LEAST_CONCERN
5231918,Cuculus canorus,"Cuculus canorus Linnaeus, 1758",Cuculiformes,Cuculidae,LC,LEAST_CONCERN
9566476,Emberiza buchanani,"Emberiza buchanani Blyth, 1845",Passeriformes,Emberizidae,LC,LEAST_CONCERN
2481112,Anous tenuirostris,"Anous tenuirostris (Temminck, 1823)",Charadriiformes,Laridae,LC,LEAST_CONCERN
2496944,Caprimulgus asiaticus,"Caprimulgus asiaticus Latham, 1790",Caprimulgiformes,Caprimulgidae,LC,LEAST_CONCERN
2496506,Surniculus lugubris,"Surniculus dicruroides (Hodgson, 1839)",Cuculiformes,Cuculidae,LC,LEAST_CONCERN
9761484,Anas platyrhynchos,"Anas platyrhynchos Linnaeus, 1758",Anseriformes,Anatidae,LC,LEAST_CONCERN
2480509,Aquila clanga,"Clanga clanga (Pallas, 1811)",Accipitriformes,Accipitridae,VU,VULNERABLE
2493067,Phylloscopus tytleri,"Phylloscopus tytleri W.E.Brooks, 1871",Passeriformes,Phylloscopidae,LC,LEAST_CONCERN
2481840,Hydrophasianus chirurgus,"Hydrophasianus chirurgus (Scopoli, 1786)",Charadriiformes,Jacanidae,LC,LEAST_CONCERN
6101234,Treron affinis,"Treron affinis (Jerdon, 1840)",Columbiformes,Columbidae,LC,LEAST_CONCERN
2481719,Tringa stagnatilis,"Tringa stagnatilis (Bechstein, 1803)",Charadriiformes,Scolopacidae,LC,LEAST_CONCERN
2498180,Netta rufina,"Netta rufina (Pallas, 1773)",Anseriformes,Anatidae,LC,LEAST_CONCERN
2481714,Tringa totanus,"Tringa totanus (Linnaeus, 1758)",Charadriiformes,Scolopacidae,LC,LEAST_CONCERN
2474404,Gallicrex cinerea,"Gallicrex cinerea (Gmelin, 1789)",Gruiformes,Rallidae,LC,LEAST_CONCERN
7341877,Parus aplonotus,"Machlolophus aplonotus (Blyth, 1847)",Passeriformes,Paridae,NE,NOT_EVALUATED
6065824,Chroicocephalus ridibundus,"Chroicocephalus ridibundus (Linnaeus, 1766)",Charadriiformes,Laridae,NE,NOT_EVALUATED
2480513,Aquila nipalensis,"Aquila nipalensis Hodgson, 1833",Accipitriformes,Accipitridae,EN,ENDANGERED
2495691,Streptopelia tranquebarica,"Streptopelia tranquebarica (Hermann, 1804)",Columbiformes,Columbidae,LC,LEAST_CONCERN
2493062,Phylloscopus griseolus,"Phylloscopus griseolus Blyth, 1847",Passeriformes,Phylloscopidae,LC,LEAST_CONCERN
2474750,Amaurornis akool,"Zapornia akool (Sykes, 1832)",Gruiformes,Rallidae,LC,LEAST_CONCERN
2480331,Pluvialis fulva,"Pluvialis fulva (J.F.Gmelin, 1789)",Charadriiformes,Charadriidae,LC,LEAST_CONCERN
2480297,Charadrius leschenaultii,Anarhynchus leschenaultii,Charadriiformes,Charadriidae,LC,LEAST_CONCERN
2490681,Calandrella brachydactyla,"Calandrella dukhunensis (Sykes, 1832)",Passeriformes,Alaudidae,LC,LEAST_CONCERN
2493091,Phylloscopus collybita,"Phylloscopus collybita (Vieillot, 1817)",Passeriformes,Phylloscopidae,LC,LEAST_CONCERN
9362027,Mareca strepera,"Mareca strepera (Linnaeus, 1758)",Anseriformes,Anatidae,LC,LEAST_CONCERN
