speciesKey,state,direction,month,obs_count,mean_lat,mean_lon,individual_sum
5232328,karnataka,S,10,79,13.646714746835448,75.5544996708861,114
2475419,karnataka,S,11,6,14.852958999999998,74.15562,62
5739290,karnataka,S,10,124,13.242393846774185,76.15067846774184,177
2480757,karnataka,S,4,13,12.88649007692308,74.99506307692307,13
9584698,karnataka,S,11,6,14.797430666666669,76.38271783333334,6
2492634,karnataka,S,11,116,12.886786577586198,75.97121530172419,211
2489214,karnataka,S,1,16,12.9612896875,75.75705218749998,37
9761484,karnataka,S,7,29,12.908988275862068,77.56552272413794,76
6065768,karnataka,S,7,10,14.077627000000001,74.5108064,14
5788511,karnataka,S,9,36,13.230868749999997,75.47109080555555,37
5229199,karnataka,S,11,25,13.508167479999997,74.68476827999997,27
2490303,karnataka,S,5,10,12.814756399999998,77.459684,48
5229199,karnataka,S,1,63,13.598867126984135,74.68668993650792,76
2481681,karnataka,S,8,6,14.040000333333332,74.498905,8
5228719,karnataka,S,3,92,14.426928684782613,74.90706358695647,127
5229419,karnataka,S,5,28,12.957356428571428,74.58271767857138,32
5229261,karnataka,S,1,57,13.090606000000006,76.8271749473684,143
5789153,karnataka,S,9,10,14.288484200000003,75.06535899999999,27
2493548,karnataka,S,11,25,13.278515359999998,74.7812962,44
2474404,karnataka,S,7,64,12.937574109375005,77.09664020312492,82
5231245,karnataka,S,3,6,15.052143500000001,76.779395,6
5788504,karnataka,S,8,13,12.433190384615385,75.61445615384616,13
9761484,karnataka,S,10,39,12.988849282051287,77.40442015384619,150
2480564,karnataka,S,1,21,13.348901571428572,77.66482228571428,21
5231233,karnataka,S,2,13,12.946521307692308,74.92086384615385,13
2480841,karnataka,S,7,9,14.448494666666667,74.90860844444444,9
2498261,karnataka,S,10,12,13.63720575,74.86349541666668,13
2492746,karnataka,S,9,21,14.49927219047619,77.02229523809527,29
5231245,karnataka,S,11,26,15.930528269230772,75.85129684615386,30
8012314,karnataka,S,9,14,14.323791142857143,75.68540378571427,14
2473362,karnataka,S,4,8,12.71675175,76.24872825000001,38
2473362,karnataka,S,11,14,12.3122845,76.62941914285713,23
2492865,karnataka,S,12,16,16.1391449375,76.21783562500002,16
2492746,karnataka,S,6,45,15.177944577777769,76.61792044444444,72
5228719,karnataka,S,10,53,13.86723945283019,75.15291511320756,65
5231927,karnataka,S,10,53,13.401504849056604,76.69353567924531,55
2498255,karnataka,S,9,12,13.068187916666666,77.76923616666669,12
2490728,karnataka,S,12,55,13.081995690909098,77.57110145454553,57
2489160,karnataka,S,3,22,12.928346090909088,76.56175031818181,106
2474968,karnataka,S,3,7,12.715826285714286,77.30124071428573,9
2489160,karnataka,S,11,13,13.278601923076925,76.77416207692308,28
2492746,karnataka,S,10,23,15.260645695652173,76.87435260869567,37
2498017,karnataka,S,3,41,12.171281487804888,76.75403731707323,41
2490303,karnataka,S,3,41,12.745965999999997,76.84034824390241,252
2498180,karnataka,S,1,23,17.571357043478258,77.10946756521739,564
2492746,karnataka,S,8,23,14.297736043478265,76.93898217391305,37
8028588,karnataka,S,3,15,14.007329066666667,75.0257564,48
2481912,karnataka,S,3,13,13.224367076923077,77.2302690769231,39
5228719,karnataka,S,7,31,13.261173354838705,75.32501367741934,32
2480717,karnataka,S,4,68,11.882244911764701,76.37122810294117,130
6065824,karnataka,S,9,6,13.430176000000001,74.70509633333333,6
2481835,karnataka,S,2,41,12.419843780487806,76.81724697560975,60
5228719,karnataka,S,8,44,13.063629386363637,75.4495904090909,53
2490283,karnataka,S,1,43,13.129831906976733,77.45680897674424,97
2497295,karnataka,S,12,9,15.432259222222221,76.18949600000002,58
5788504,karnataka,S,11,17,13.211855117647056,75.54904411764706,18
2490788,karnataka,S,11,7,14.269889285714285,76.00965785714287,8
2489214,karnataka,S,10,7,13.272954142857142,75.71257357142858,13
2495776,karnataka,S,7,5,13.716993800000001,74.662418,13
5232328,karnataka,S,9,30,13.061037033333337,76.20280683333334,44
2473362,karnataka,S,2,5,12.331305,76.180919,16
