district,norm_name,display_name,No_HH_1991,TOT_P_1991,TOT_M_1991,TOT_F_1991,P_06_1991,P_SC_1991,P_ST_1991,P_LIT_1991,TOT_WORK_P_1991,MAINWORK_P_1991,MARGWORK_P_1991,NON_WORK_P_1991,first_census,census_count,census_years_str,No_HH_2001,TOT_P_2001,TOT_M_2001,TOT_F_2001,P_06_2001,P_SC_2001,P_ST_2001,P_LIT_2001,TOT_WORK_P_2001,MAINWORK_P_2001,MARGWORK_P_2001,NON_WORK_P_2001,No_HH_2011,TOT_P_2011,TOT_M_2011,TOT_F_2011,P_06_2011,P_SC_2011,P_ST_2011,P_LIT_2011,TOT_WORK_P_2011,MAINWORK_P_2011,MARGWORK_P_2011,NON_WORK_P_2011
Buldana,deulgaon raja,Deulgaon Raja (M),3325.0,18893.0,9848.0,9045.0,3424.0,1923.0,102.0,11441.0,5956.0,5617.0,339.0,12598.0,1991,3,"1991,2001,2011",4506.0,24372.0,12633.0,11739.0,3554.0,2047.0,237.0,17238.0,7381.0,6671.0,710.0,16991.0,5972.0,30827.0,15954.0,14873.0,3997.0,3460.0,196.0,23538.0,10086.0,9548.0,538.0,20741.0
Buldana,jalgaon (jamod),Jalgaon (Jamod) (M),3888.0,22344.0,11545.0,10799.0,3986.0,1012.0,126.0,12167.0,7660.0,6943.0,717.0,13967.0,1991,3,"1991,2001,2011",4638.0,26282.0,13605.0,12677.0,3977.0,1285.0,504.0,17690.0,8773.0,7983.0,790.0,17509.0,5395.0,28276.0,14550.0,13726.0,3633.0,2537.0,545.0,21408.0,9777.0,8971.0,806.0,18499.0
Buldana,khamgaon,Khamgaon (M),12767.0,73692.0,38562.0,35130.0,12009.0,5983.0,971.0,50494.0,19945.0,19391.0,554.0,53193.0,1991,3,"1991,2001,2011",16084.0,88687.0,45933.0,42754.0,12180.0,6670.0,1312.0,67263.0,24893.0,22891.0,2002.0,63794.0,19185.0,94191.0,48368.0,45823.0,10597.0,11149.0,1281.0,76870.0,29659.0,26806.0,2853.0,64532.0
Buldana,lonar,Lonar (M),2763.0,16002.0,8265.0,7737.0,3115.0,743.0,786.0,8558.0,5286.0,4861.0,425.0,10291.0,1991,3,"1991,2001,2011",3642.0,20082.0,10388.0,9694.0,3182.0,1825.0,1294.0,13235.0,6229.0,5289.0,940.0,13853.0,4638.0,23416.0,12114.0,11302.0,3208.0,2602.0,990.0,17378.0,8515.0,7324.0,1191.0,14901.0
Buldana,malkapur,Malkapur (M),8408.0,51311.0,26221.0,25090.0,9641.0,3261.0,476.0,30375.0,14299.0,13897.0,402.0,36610.0,1991,3,"1991,2001,2011",10517.0,61012.0,31398.0,29614.0,9525.0,3674.0,398.0,41795.0,17683.0,16142.0,1541.0,43329.0,12879.0,67740.0,34693.0,33047.0,8984.0,4551.0,504.0,51668.0,21268.0,17411.0,3857.0,46472.0
Buldana,mehkar,Mehkar (M),5399.0,29546.0,15196.0,14350.0,5597.0,5093.0,253.0,16539.0,9105.0,8821.0,284.0,20157.0,1991,3,"1991,2001,2011",7091.0,37715.0,19472.0,18243.0,5743.0,6252.0,551.0,25267.0,11593.0,10538.0,1055.0,26122.0,9068.0,45248.0,23274.0,21974.0,5935.0,8202.0,499.0,33980.0,15653.0,14252.0,1401.0,29595.0
Buldana,nandura,Nandura (M),5426.0,31835.0,16330.0,15505.0,5738.0,2352.0,511.0,20024.0,9885.0,9354.0,531.0,21419.0,1991,3,"1991,2001,2011",6711.0,37469.0,19100.0,18369.0,5534.0,1987.0,597.0,25601.0,11481.0,10111.0,1370.0,25988.0,8261.0,42167.0,21668.0,20499.0,5364.0,4519.0,618.0,33136.0,13705.0,12228.0,1477.0,28462.0
Buldana,shegaon,Shegaon (M),7660.0,42492.0,21695.0,20797.0,7654.0,3081.0,967.0,25567.0,14324.0,13789.0,535.0,27633.0,1991,3,"1991,2001,2011",9551.0,52423.0,27076.0,25347.0,7736.0,3910.0,1851.0,37726.0,17511.0,15445.0,2066.0,34912.0,12031.0,59672.0,30547.0,29125.0,7252.0,9015.0,1318.0,47020.0,20998.0,19073.0,1925.0,38674.0
Buldana,sindkhed raja,Sindkhed Raja (M),2144.0,11591.0,5950.0,5641.0,2158.0,497.0,133.0,5372.0,4604.0,4491.0,113.0,6874.0,1991,3,"1991,2001,2011",2768.0,13941.0,7329.0,6612.0,1963.0,1824.0,227.0,8821.0,5385.0,4667.0,718.0,8556.0,3377.0,16434.0,8553.0,7881.0,2145.0,2482.0,192.0,11721.0,7226.0,6784.0,442.0,9208.0
Akola,akola,Akola (M),59243.0,328034.0,170943.0,157091.0,53151.0,32831.0,9365.0,220909.0,88869.0,87510.0,1359.0,237806.0,1991,3,"1991,2001,2011",73987.0,400520.0,206649.0,193871.0,52719.0,33366.0,9197.0,299291.0,116833.0,107592.0,9241.0,283687.0,86016.0,425817.0,217393.0,208424.0,47319.0,66078.0,8715.0,347893.0,139283.0,132005.0,7278.0,286534.0
Akola,akot,Akot (M),11033.0,65681.0,34110.0,31571.0,11669.0,4819.0,1304.0,39729.0,20717.0,20365.0,352.0,44612.0,1991,3,"1991,2001,2011",14099.0,80726.0,41806.0,38920.0,12041.0,8078.0,1523.0,56673.0,25625.0,23957.0,1668.0,55101.0,18441.0,92637.0,47733.0,44904.0,11055.0,10461.0,1328.0,72182.0,30838.0,28104.0,2734.0,61799.0
Akola,balapur,Balapur (M),4790.0,32276.0,16639.0,15637.0,7004.0,2111.0,899.0,17610.0,9147.0,8802.0,345.0,22784.0,1991,3,"1991,2001,2011",5835.0,39502.0,20377.0,19125.0,6780.0,1642.0,919.0,27008.0,11584.0,10669.0,915.0,27918.0,7761.0,44594.0,22909.0,21685.0,6152.0,3139.0,528.0,34309.0,14470.0,12967.0,1503.0,30124.0
Akola,karanja,Karanja (M),7713.0,48866.0,25162.0,23704.0,8924.0,4434.0,1516.0,29907.0,14145.0,13870.0,275.0,34446.0,1991,1,1991,,,,,,,,,,,,,,,,,,,,,,,,
Akola,mangrulpir,Mangrulpir (M),4189.0,23736.0,12349.0,11387.0,4332.0,2679.0,919.0,14759.0,6823.0,6591.0,232.0,16681.0,1991,1,1991,,,,,,,,,,,,,,,,,,,,,,,,
Akola,murtijapur,Murtijapur (M),5873.0,34014.0,17408.0,16606.0,5430.0,4424.0,1487.0,21878.0,9840.0,9631.0,209.0,23965.0,1991,3,"1991,2001,2011",7156.0,38554.0,19713.0,18841.0,5111.0,4975.0,1037.0,29200.0,11744.0,10802.0,942.0,26810.0,8230.0,40295.0,20309.0,19986.0,4348.0,6448.0,950.0,33088.0,13446.0,12109.0,1337.0,26849.0
Akola,patur,Patur (M),2682.0,17398.0,9152.0,8246.0,3317.0,866.0,427.0,9794.0,5342.0,5261.0,81.0,11975.0,1991,3,"1991,2001,2011",3145.0,20538.0,10656.0,9882.0,3178.0,1919.0,417.0,14638.0,5959.0,5658.0,301.0,14579.0,3913.0,21095.0,10880.0,10215.0,2535.0,2481.0,295.0,16777.0,6729.0,5126.0,1603.0,14366.0
Akola,risod,Risod (M),3463.0,21338.0,10900.0,10438.0,3974.0,2940.0,417.0,11267.0,7330.0,7179.0,151.0,13857.0,1991,1,1991,,,,,,,,,,,,,,,,,,,,,,,,
Akola,telhara,Telhara (M),2653.0,13848.0,7163.0,6685.0,2277.0,1312.0,463.0,9170.0,4878.0,4756.0,122.0,8848.0,1991,3,"1991,2001,2011",3780.0,18906.0,9773.0,9133.0,2583.0,1477.0,662.0,13869.0,6637.0,6296.0,341.0,12269.0,4518.0,20986.0,10759.0,10227.0,2352.0,3725.0,641.0,16805.0,8034.0,7668.0,366.0,12952.0
Akola,washim,Washim (M),8461.0,49140.0,25465.0,23675.0,8503.0,5944.0,843.0,29761.0,14319.0,13993.0,326.0,34495.0,1991,1,1991,,,,,,,,,,,,,,,,,,,,,,,,
Amravati,achalpur,Achalpur (M),15264.0,96229.0,49594.0,46635.0,15553.0,10928.0,5795.0,62157.0,27409.0,26516.0,893.0,67927.0,1991,3,"1991,2001,2011",18144.0,107316.0,55687.0,51629.0,13496.0,12043.0,5001.0,81927.0,34219.0,29801.0,4418.0,73097.0,21756.0,112311.0,58108.0,54203.0,12236.0,13773.0,4069.0,91547.0,37701.0,32741.0,4960.0,74610.0
Amravati,amravati,Amravati (M.Corp.),81691.0,421576.0,220086.0,201490.0,62417.0,61051.0,14402.0,294977.0,115718.0,113883.0,1835.0,304023.0,1991,3,"1991,2001,2011",104657.0,549510.0,284247.0,265263.0,67209.0,86431.0,16972.0,432587.0,159644.0,147149.0,12495.0,389866.0,136796.0,647057.0,329992.0,317065.0,65355.0,111435.0,15955.0,535594.0,208536.0,189628.0,18908.0,438521.0
Amravati,anjangaon,Anjangaon (M),6960.0,41674.0,21583.0,20091.0,7326.0,4292.0,1118.0,25124.0,13747.0,12852.0,895.0,27032.0,1991,3,"1991,2001,2011",8850.0,51170.0,26613.0,24557.0,7472.0,4784.0,786.0,37191.0,17390.0,15165.0,2225.0,33780.0,11168.0,56380.0,29017.0,27363.0,6526.0,5555.0,328.0,44333.0,19185.0,16409.0,2776.0,37195.0
Amravati,chandur,Chandur (M),2727.0,14203.0,7303.0,6900.0,1979.0,1828.0,674.0,9368.0,4884.0,4675.0,209.0,9110.0,1991,2,"1991,2001",3625.0,17719.0,9134.0,8585.0,2222.0,2341.0,702.0,13535.0,6279.0,5283.0,996.0,11440.0,,,,,,,,,,,,
