district,mean_radiance,median_radiance,pixel_count,min_radiance,max_radiance,std_radiance,year
Buldana,0.5316738292142121,0.34885066747665405,23311,0.08179544657468796,17.172508239746094,0.7000154266066655,2013
Akola,0.7572399270155742,0.44267892837524414,15988,0.10598469525575638,21.0169677734375,1.300283897039369,2013
Nashik,1.217349172687395,0.5083622336387634,38755,0.09919536113739014,60.563629150390625,3.371538008570326,2013
Gadchiroli,0.42635421854249667,0.26593518257141113,11295,0.014158378355205059,11.244514465332031,0.6110627161501205,2013
Washim,0.5228784835184355,0.366798460483551,13371,0.09392322599887848,14.646483421325684,0.6472758601089402,2013
Chandrapur,1.1134802347507653,0.42540156841278076,18296,0.07926491647958755,58.029823303222656,2.5587081563635077,2013
Yavatmal,0.6240007317198412,0.39917802810668945,36515,0.07401298731565475,19.91455078125,0.8859016984406475,2013
Jalna,0.6052895514022096,0.3247338533401489,18872,0.0749838575720787,30.20760726928711,1.2914117376911072,2013
Ahmadnagar,0.7919970364412194,0.5228952169418335,54780,0.0975152850151062,44.27153396606445,1.2542243040781786,2013
Hingoli,0.5316297890363382,0.33418235182762146,11049,0.0873924046754837,23.86807632446289,0.9754389771209568,2013
Nanded,0.628512893147858,0.31916919350624084,26167,0.08380822837352753,51.16098403930664,1.7210745328716672,2013
Parbhani,0.7362897148429944,0.37480682134628296,15509,0.09873423725366592,35.49927520751953,1.7347187619588145,2013
Pune,2.086330693866595,0.7551498413085938,52157,0.12416870146989822,52.91468811035156,4.439675848875003,2013
Bid,0.6599400681480221,0.3814573884010315,27908,0.08738097548484802,28.018259048461914,1.2573968172224046,2013
Mumbai,19.595086220349565,12.772665023803711,801,0.6954018473625183,66.01387023925781,16.950368579717217,2013
Latur,0.5707306698517941,0.30437397956848145,16025,0.08332806825637817,16.315855026245117,1.0855204600845705,2013
Osmanabad,0.5169762160314132,0.320997416973114,17047,0.08725045621395111,16.18399429321289,0.7034775881238171,2013
