district,town_name,display_name,first_census,census_count,lat,lon,geocode_status,geocode_query
Kolhapur,jaysingpur,Jaysingpur (M),1991,3,16.778989,74.556424,ok,"Jaysingpur, Kolhapur district, Maharashtra, India"
Kolhapur,kabnur,Kabnur (Ct),1991,3,16.702278,74.440568,ok,"Kabnur, Kolhapur district, Maharashtra, India"
Kolhapur,kagal,Kagal (M),1991,3,16.575089,74.315257,ok,"Kagal, Kolhapur district, Maharashtra, India"
Kolhapur,kolhapur,Kolhapur (M.Corp.),1991,3,16.702841,74.240533,ok,"Kolhapur, Kolhapur district, Maharashtra, India"
Kolhapur,kurundvad,Kurundvad (M),1991,3,16.681097,74.591544,ok_photon,"Kurundwad, Kolhapur district, Maharashtra, India"
Kolhapur,malkapur,Malkapur (M),1991,3,16.918101,73.933192,ok,"Malkapur, Kolhapur district, Maharashtra, India"
Kolhapur,murgad,Murgad (M),1991,1,16.394064,74.19071,ok_photon,"Murgud, Kolhapur district, Maharashtra, India"
Kolhapur,panhala,Panhala (M),1991,3,16.806683,74.112598,ok,"Panhala, Kolhapur district, Maharashtra, India"
Kolhapur,vadgaon kasba,Vadgaon Kasba (M),1991,3,16.835267,74.315172,ok,"Vadgaon Kasba, Kolhapur district, Maharashtra, India"
Kolhapur,korochi,Korochi (Ct),2001,2,16.719127,74.442794,ok,"Korochi, Kolhapur district, Maharashtra, India"
Kolhapur,ichalkaranji,Ichalkaranji (M Cl),2001,2,16.695935,74.455575,ok,"Ichalkaranji, Kolhapur district, Maharashtra, India"
Kolhapur,hupari,Hupari (Ct),2001,2,16.61759,74.406739,ok,"Hupari, Kolhapur district, Maharashtra, India"
Kolhapur,uchgaon,Uchgaon (Ct),2001,2,16.696991,74.27496,ok,"Uchgaon, Kolhapur district, Maharashtra, India"
Kolhapur,pachgaon,Pachgaon (Ct),2001,2,16.663053,74.226393,ok,"Pachgaon, Kolhapur district, Maharashtra, India"
Kolhapur,kalambe turf thane,Kalambe Turf Thane (Ct),2001,1,16.705885,74.094476,ok_photon,"Kalambe Turf Thane, Kolhapur district, Maharashtra, India"
Kolhapur,murgud,Murgud (M Cl),2001,2,16.394064,74.19071,ok,"Murgud, Kolhapur district, Maharashtra, India"
Kolhapur,ajra,Ajra (Ct),2001,2,16.157717,74.188142,ok,"Ajra, Kolhapur district, Maharashtra, India"
Kolhapur,wadi ratnagiri,Wadi Ratnagiri (Ct),2011,1,16.797836,74.177528,ok,"Wadi Ratnagiri, Kolhapur district, Maharashtra, India"
Kolhapur,ujalaiwadi,Ujalaiwadi (Ct),2011,1,16.664628,74.270691,ok,"Ujalaiwadi, Kolhapur district, Maharashtra, India"
Kolhapur,morewadi,Morewadi (Ct),2011,1,16.69562,74.059728,ok,"Morewadi, Kolhapur district, Maharashtra, India"
Kolhapur,gokul shirgaon,Gokul Shirgaon (Ct),2011,1,16.64355,74.290895,ok,"Gokul Shirgaon, Kolhapur district, Maharashtra, India"
Kolhapur,tamgaon,Tamgaon (Ct),2011,1,16.65389,74.283846,ok,"Tamgaon, Kolhapur district, Maharashtra, India"
Kolhapur,kalambe t. thane,Kalambe T. Thane (Ct),2011,1,16.705885,74.094476,ok_photon,"Kalambe T. Thane, Kolhapur district, Maharashtra, India"
Latur,ahmadpur,Ahmadpur (M),1991,3,18.706124,76.937731,ok,"Ahmadpur, Latur district, Maharashtra, India"
Latur,ausa,Ausa (M),1991,3,18.251024,76.500958,ok,"Ausa, Latur district, Maharashtra, India"
Latur,latur,Latur (M),1991,3,18.398227,76.562591,ok,"Latur, Latur district, Maharashtra, India"
Latur,nilanga,Nilanga (M),1991,3,18.083767,76.799229,ok,"Nilanga, Latur district, Maharashtra, India"
Latur,udgir,Udgir (M),1991,3,18.392135,77.119612,ok,"Udgir, Latur district, Maharashtra, India"
Latur,arvi,Arvi (Ct),2011,1,18.355335,76.7549,ok_photon,"Arvi, Latur district, Maharashtra, India"
Latur,nideban,Nideban (Ct),2011,1,18.355335,76.7549,ok_photon,"Nideban, Latur district, Maharashtra, India"
Mumbai,greater mumbai (m corp.),Greater Mumbai (M Corp.) (Part),2001,2,18.940696,72.834017,ok_photon,"Greater Mumbai, Mumbai district, Maharashtra, India"
Mumbai Suburban,greater mumbai (m corp.),Greater Mumbai (M Corp.) (Part),2001,2,19.107489,72.87187,ok_photon,"Greater Mumbai, Mumbai Suburban district, Maharashtra, India"
Nagpur,chicholi,Chicholi (Ct),1991,3,21.297042,79.048626,ok,"Chicholi, Nagpur district, Maharashtra, India"
Nagpur,digdoh,Digdoh (Ct),1991,3,21.110166,79.018537,ok,"Digdoh, Nagpur district, Maharashtra, India"
Nagpur,kalameshwar,Kalameshwar (M),1991,3,21.26542,78.878818,ok,"Kalameshwar, Nagpur district, Maharashtra, India"
Nagpur,kamptee,Kamptee (Cantt.),1991,6,21.217064,79.196418,ok_photon,"Kamptee, Nagpur district, Maharashtra, India"
Nagpur,kandri,Kandri (Ct),1991,5,21.420523,79.27641,ok,"Kandri, Nagpur district, Maharashtra, India"
Nagpur,kanhan (pipri),Kanhan (Pipri) (Ct),1991,3,21.323677,79.435529,ok_photon,"Kanhan, Nagpur district, Maharashtra, India"
Nagpur,katol,Katol (M),1991,3,21.275182,78.58657,ok,"Katol, Nagpur district, Maharashtra, India"
Nagpur,khapa,Khapa (M),1991,3,21.30002,79.062048,ok,"Khapa, Nagpur district, Maharashtra, India"
Nagpur,koradi,Koradi (Ct),1991,2,21.241446,79.102775,ok,"Koradi, Nagpur district, Maharashtra, India"
Nagpur,mahadula,Mahadula (Ct),1991,3,21.155288,79.496189,ok,"Mahadula, Nagpur district, Maharashtra, India"
Nagpur,mohpa,Mohpa (M),1991,3,20.80352,79.292793,ok,"Mohpa, Nagpur district, Maharashtra, India"
Nagpur,mowad,Mowad (M),1991,3,21.465211,78.450193,ok,"Mowad, Nagpur district, Maharashtra, India"
Nagpur,nagpur,Nagpur (M.Corp.),1991,3,21.149813,79.082056,ok,"Nagpur, Nagpur district, Maharashtra, India"
Nagpur,narkhed,Narkhed (M),1991,3,21.471322,78.533717,ok,"Narkhed, Nagpur district, Maharashtra, India"
Nagpur,ramtek,Ramtek (M),1991,3,21.395752,79.325747,ok,"Ramtek, Nagpur district, Maharashtra, India"
Nagpur,savner,Savner (M),1991,3,21.432048,78.887638,ok,"Savner, Nagpur district, Maharashtra, India"
Nagpur,sillewada,Sillewada (Ct),1991,3,21.149813,79.082056,ok_photon,"Sillewada, Nagpur, Maharashtra, India"
Nagpur,tekadi,Tekadi (Ct),1991,3,21.577787,78.947831,ok,"Tekadi, Nagpur district, Maharashtra, India"
Nagpur,totaladoh,Totaladoh (Ct),1991,2,21.658707,79.23205,ok_photon,"Totaladoh, Nagpur district, Maharashtra, India"
Nagpur,umred,Umred (M),1991,3,20.847337,79.32476,ok,"Umred, Nagpur district, Maharashtra, India"
Nagpur,wadi,Wadi (Ct),1991,3,21.149139,78.977706,ok,"Wadi, Nagpur district, Maharashtra, India"
Nagpur,walani,Walani (Ct),1991,3,21.261691,78.976003,ok,"Walani, Nagpur district, Maharashtra, India"
Nagpur,mansar,Mansar (Ct),2001,1,21.396715,79.262715,ok,"Mansar, Nagpur district, Maharashtra, India"
Nagpur,yerkheda,Yerkheda (Ct),2001,2,20.565818,79.393558,fallback,"Yerkheda, Maharashtra, India"
Nagpur,davlameti,Davlameti (Ct),2001,2,21.149813,79.082056,ok_photon,"Davlameti, Nagpur, Maharashtra, India"
Nagpur,sonegaon (nipani),Sonegaon (Nipani) (Ct),2001,2,21.100373,79.052343,ok_photon,"Sonegaon, Nagpur district, Maharashtra, India"
Nagpur,wanadongri,Wanadongri (Ct),2001,2,21.096573,78.966266,ok,"Wanadongri, Nagpur district, Maharashtra, India"
Nagpur,nildoh,Nildoh (Ct),2001,2,21.113295,79.001348,ok,"Nildoh, Nagpur district, Maharashtra, India"
Nagpur,bamhni,Bamhni (Ct),2011,1,20.922678,79.364628,ok,"Bamhni, Nagpur district, Maharashtra, India"
Nagpur,waghoda,Waghoda (Ct),2011,1,21.226722,78.579122,ok,"Waghoda, Nagpur district, Maharashtra, India"
Nagpur,chandkapur,Chandkapur (Ct),2011,1,21.149813,79.082056,ok_photon,"Chandkapur, Nagpur, Maharashtra, India"
Nagpur,mouda,Mouda (Ct),2011,1,21.147604,79.413814,ok,"Mouda, Nagpur district, Maharashtra, India"
Nagpur,bhokara,Bhokara (Ct),2011,1,21.149813,79.082056,ok_photon,"Bhokar, Nagpur, Maharashtra, India"
Nagpur,narsala,Narsala (Ct),2011,1,21.429181,78.850905,ok,"Narsala, Nagpur district, Maharashtra, India"
Nagpur,hudkeshwar bk.,Hudkeshwar Bk. (Ct),2011,1,21.110221,79.117314,ok,"Hudkeshwar Bk., Nagpur district, Maharashtra, India"
Nagpur,borkhedi,Borkhedi (Ct),2011,1,20.860797,78.970295,ok,"Borkhedi, Nagpur district, Maharashtra, India"
Nagpur,bori,Bori (Ct),2011,1,21.207219,79.303651,ok,"Bori, Nagpur district, Maharashtra, India"
Nagpur,waddhamana,Waddhamana (Ct),2011,1,21.149813,79.082056,ok_photon,"Waddhamana, Nagpur, Maharashtra, India"
Nagpur,nagalwadi,Nagalwadi (Ct),2011,1,21.573778,79.016617,ok,"Nagalwadi, Nagpur district, Maharashtra, India"
Nagpur,isasani,Isasani (Ct),2011,1,21.149813,79.082056,ok_photon,"Isasani, Nagpur, Maharashtra, India"
Nagpur,takalghat,Takalghat (Ct),2011,1,20.914684,78.945748,ok,"Takalghat, Nagpur district, Maharashtra, India"
Nanded,biloli,Biloli (M),1991,3,18.765284,77.696833,ok,"Biloli, Nanded district, Maharashtra, India"
Nanded,deglur,Deglur (M),1991,3,18.467756,77.499883,ok,"Deglur, Nanded district, Maharashtra, India"
