district,district_code,level,tru,entity_name,entity_code,No_HH,TOT_P,TOT_M,TOT_F,P_06,P_SC,P_ST,P_LIT,TOT_WORK_P,MAINWORK_P,MARGWORK_P,NON_WORK_P
Yavatmal,14,TOWN,Urban,Rajur (Ct),41412000,2273,11675,6019,5656,1519,2513,1187,8068,3218,3026,192,8457
Yavatmal,14,TOWN,Urban,Wani (M Cl),41413000,10893,52834,27158,25676,6939,5311,4051,38831,16700,14392,2308,36134
Nanded,15,TOWN,Urban,Kinwat (M Cl),41502000,4654,24878,12715,12163,3630,4250,1690,15972,7506,6991,515,17372
Nanded,15,TOWN,Urban,Hadgaon (M Cl),41501000,4174,23339,12128,11211,3886,2623,526,14683,7622,6500,1122,15717
Nanded,15,TOWN,Urban,Wajegaon (Ct),41505000,1180,7664,3934,3730,1638,1643,139,3789,2434,1768,666,5230
Nanded,15,TOWN,Urban,Nanded-Waghala (M Corp.),41506000,72733,430733,224843,205890,66690,53190,8692,296668,111285,102397,8888,319448
Nanded,15,TOWN,Urban,Mudkhed (M Cl),41504000,2894,18700,9856,8844,3224,2153,490,10530,6077,5554,523,12623
Nanded,15,TOWN,Urban,Peth Umri (M Cl),41503000,1968,11151,5759,5392,1732,2518,768,7198,3379,2923,456,7772
Nanded,15,TOWN,Urban,Dharmabad (M Cl),41509000,5421,29951,15212,14739,4443,4742,4528,17110,10699,9914,785,19252
Nanded,15,TOWN,Urban,Kundalwadi (M Cl),41510000,2524,14334,7193,7141,2202,1296,3815,6566,5833,3703,2130,8501
Nanded,15,TOWN,Urban,Biloli (M Cl),41511000,2355,13433,6926,6507,2189,2234,3279,7506,4543,3651,892,8890
Nanded,15,TOWN,Urban,Loha (M Cl),41507000,3358,20148,10378,9770,3293,2932,319,12632,5819,4858,961,14329
Nanded,15,TOWN,Urban,Kandhar (M Cl),41508000,3263,20772,11010,9762,3255,3942,29,13255,4991,4455,536,15781
Nanded,15,TOWN,Urban,Mukhed (M Cl),41512000,4451,25933,13338,12595,4366,4078,2370,15912,7534,5948,1586,18399
Nanded,15,TOWN,Urban,Deglur (M Cl),41513000,8253,48028,24598,23430,7413,6549,4105,30261,13820,11050,2770,34208
Hingoli,16,TOWN,Urban,Hingoli (M Cl),41601000,11922,69432,35639,33793,11056,7064,2848,45970,19527,17610,1917,49905
Hingoli,16,TOWN,Urban,Kalamnuri (M Cl),41602000,3412,20632,10704,9928,3392,1535,902,13405,6026,5019,1007,14606
Hingoli,16,TOWN,Urban,Basmath (M Cl),41603000,9379,57365,29734,27631,9304,4617,990,36868,15043,14049,994,42322
Hingoli,16,TOWN,Urban,Babhulgaon (Ct),41604000,1352,6601,3456,3145,1105,692,105,3110,3330,3115,215,3271
Parbhani,17,TOWN,Urban,Sailu (M Cl),41702000,6810,39851,20718,19133,5849,3565,832,25484,11564,10460,1104,28287
Parbhani,17,TOWN,Urban,Jintur (M Cl),41701000,5965,38112,19931,18181,6567,1871,708,23311,10140,9094,1046,27972
Parbhani,17,TOWN,Urban,Parbhani (M Cl),41705000,44693,259329,133959,125370,40165,23047,3419,170438,68312,62858,5454,191017
Parbhani,17,TOWN,Urban,Manwath (M Cl),41703000,4901,29218,14879,14339,4472,1879,454,18038,9540,8303,1237,19678
Parbhani,17,TOWN,Urban,Pathri (M Cl),41704000,5343,32001,16459,15542,5271,2412,949,19138,9734,9148,586,22267
Parbhani,17,TOWN,Urban,Sonpeth (M Cl),41707000,2356,13022,6726,6296,2162,1387,168,7671,4690,4394,296,8332
Parbhani,17,TOWN,Urban,Gangakhed (M Cl),41708000,7078,40428,20727,19701,6720,5641,816,23971,10972,9882,1090,29456
Parbhani,17,TOWN,Urban,Purna (M Cl),41706000,5386,33225,17063,16162,4825,3761,903,22324,8842,7636,1206,24383
Jalna,18,TOWN,Urban,Bhokardan (M Cl),41801000,2996,16950,8888,8062,3012,1899,201,10378,4527,3812,715,12423
Jalna,18,TOWN,Urban,Jalna (M Cl),41802000,40732,235795,121922,113873,36671,22519,4310,155936,69423,60990,8433,166372
Jalna,18,TOWN,Urban,Ambad (M Cl),41803000,4501,26108,13727,12381,4216,1786,321,16569,7524,7059,465,18584
Jalna,18,TOWN,Urban,Partur (M Cl),41804000,4750,29012,14925,14087,4794,1644,688,17803,8152,7084,1068,20860
Aurangabad,19,TOWN,Urban,Kannad (M Cl),41901000,6129,34403,17868,16535,5257,2425,1039,23524,9618,9179,439,24785
Aurangabad,19,TOWN,Urban,Sillod (M Cl),41902000,7316,43867,22873,20994,7662,3886,1057,27780,12038,10893,1145,31829
Aurangabad,19,TOWN,Urban,Aurangabad (M Corp.),41903000,167081,873311,459295,414016,135639,149072,9159,617186,249747,236559,13188,623564
Aurangabad,19,TOWN,Urban,Aurangabad (Cb),41904000,3362,19172,9942,9230,2769,2225,1115,14054,5639,5269,370,13533
Aurangabad,19,TOWN,Urban,Pandharpur (Ct),41905000,2265,9696,5438,4258,1844,2336,182,5842,3709,3261,448,5987
Aurangabad,19,TOWN,Urban,Khuldabad (M Cl),41906000,2150,12794,6645,6149,2181,1110,403,8113,3938,3293,645,8856
Aurangabad,19,TOWN,Urban,Vaijapur (M Cl),41907000,6525,37064,19156,17908,5088,5635,634,25375,11892,10382,1510,25172
Aurangabad,19,TOWN,Urban,Gangapur (M Cl),41908000,3890,22325,11652,10673,3531,2436,264,14358,6842,6164,678,15483
Aurangabad,19,TOWN,Urban,Paithan (M Cl),41909000,6445,34518,17681,16837,4823,4153,347,22815,10733,9497,1236,23785
Nashik,20,TOWN,Urban,Surgana (Ct),42001000,1157,6147,3297,2850,864,337,3162,4182,1759,1385,374,4388
Nashik,20,TOWN,Urban,Satana (M Cl),42002000,6082,32561,16793,15768,4085,1906,2991,24148,10024,8688,1336,22537
Nashik,20,TOWN,Urban,Soyagaon (Ct),42003000,4285,21819,11347,10472,2660,1133,987,17476,6346,5448,898,15473
